id,gender,age,FD1,SD2,UP3,FW4,FD5,SD6,UP7,FW8,FD9,SD10,UP11,FW12,FD13,SD14,UP15,FW16,FD17,SD18,UP19,UP20,FW21,SD22,FW23,SD24,UP25,FW26,UP27,FW,SD,FD,UN,FAC1_1,FAC2_1,FAC3_1,FAC4_1
599,1,22,1,1,4,3,1,1,5,3,1,1,4,3,1,3,5,3,2,2,4,4,2,3,3,2,2,2,2,2.714285714,1.857142857,1.2,3.75,-0.731233004,-0.584602038,-0.940184499,-1.622011793
600,1,19,1,3,3,3,1,4,5,5,1,1,4,4,1,3,3,4,1,3,4,3,3,3,3,3,2,3,1,3.571428571,2.857142857,1,3.125,-0.919741648,0.764781207,0.018477473,-0.108032847
603,1,19,3,1,4,1,1,1,5,3,1,1,5,5,1,2,4,3,1,3,5,5,4,5,1,3,4,3,5,2.857142857,2.285714286,1.4,4.625,-0.803494472,-0.639067055,-2.677292548,-0.987134264
605,1,22,1,2,1,2,1,3,4,2,1,2,1,2,1,1,4,3,1,1,1,4,2,1,1,4,1,1,5,1.857142857,2,1,2.625,-1.310670527,-2.084146301,1.28138804,-1.498570886
606,1,26,3,4,3,2,2,2,3,4,1,4,4,3,2,4,4,3,1,3,4,3,3,3,3,4,3,2,4,2.857142857,3.428571429,1.8,3.5,-0.104892876,-0.563006627,-0.580557795,1.337640359
607,1,21,3,5,2,4,2,3,4,4,2,4,4,4,4,4,4,2,2,4,4,4,3,4,2,4,4,3,5,3.142857143,4,2.6,3.875,0.767255737,-0.005967096,-1.135349473,1.941684556
608,1,22,4,1,2,3,1,2,5,2,3,1,3,4,2,1,3,3,3,3,2,2,2,3,2,2,2,3,2,2.714285714,1.857142857,2.6,2.625,1.011828346,-0.603615303,0.847770561,-2.108447652
610,1,23,2,3,3,2,1,1,5,4,1,2,3,5,3,3,3,4,4,2,3,3,4,3,4,4,2,3,5,3.714285714,2.571428571,2.2,3.375,-0.106896855,0.738511028,-0.437768936,-0.320187236
612,1,23,1,2,1,2,1,1,5,1,1,1,1,4,1,2,2,4,2,4,3,2,2,3,3,3,1,2,5,2.571428571,2.285714286,1.2,2.5,-1.297514355,-0.648568867,0.965913488,-1.333925046
613,1,26,4,1,1,4,2,3,1,5,1,1,1,4,1,2,1,4,1,2,1,1,1,3,1,3,1,4,2,3.285714286,2.142857143,1.8,1.125,-0.226076721,-0.120560418,3.114141984,-1.035611706
615,1,25,1,2,4,2,1,1,5,5,1,1,4,4,5,4,4,3,1,2,4,3,2,1,2,1,4,4,5,3.142857143,1.714285714,1.8,4.125,-0.349217633,-0.133145483,-1.82104252,-1.872226437
616,1,23,2,2,1,4,2,1,5,3,2,4,2,3,3,3,4,4,1,4,1,2,2,3,3,4,2,4,3,3.285714286,3,2,2.5,0.302015353,0.344758836,1.28598992,0.25003532
617,1,23,1,3,2,3,2,2,3,4,1,2,1,3,1,2,2,3,1,2,1,1,3,2,2,3,1,3,5,3,2.285714286,1.2,2,-1.27304524,-0.481838151,2.094575541,-0.750133135
618,1,21,1,2,3,1,3,1,4,2,2,1,3,1,2,4,3,2,1,1,4,3,1,4,2,3,2,1,5,1.428571429,2.285714286,1.8,3.375,-0.562796652,-2.663936601,-0.524168918,-0.572670768
619,1,25,3,4,3,5,3,2,5,4,3,3,4,5,5,3,4,4,3,4,4,4,3,3,3,4,4,3,4,3.857142857,3.285714286,3.4,4,1.976114611,1.078096793,-1.267606169,0.703673074
620,1,23,3,4,2,4,2,2,4,4,1,1,2,3,2,3,3,4,1,3,3,4,3,4,3,4,3,3,2,3.428571429,3,1.8,2.875,-0.110124858,0.236719546,0.351390067,0.758650458
625,1,40,2,2,1,4,2,2,5,4,1,1,2,3,1,4,4,2,5,2,3,3,2,4,2,2,1,4,5,3,2.428571429,2.2,3,-0.30643645,-0.056173067,0.279875567,-1.029901452
626,1,21,3,2,3,4,2,1,4,4,2,2,3,3,3,2,4,3,2,3,3,4,2,3,3,3,2,3,3,3.142857143,2.285714286,2.4,3.25,0.712611622,-0.171272123,-0.054395978,-0.673785464
