V1,Sexe,Age,FD1,SD2,UP3,FW4,FD5,SD6,UP7,FW8,FD9,SD10,UP11,FW12,FD13,SD14,UP15,FW16,FD17,SD18,UP19,UP20,FW21,SD22,FW23,SD24,UP25,FW26,UP27
626,1,21,3,2,3,4,2,1,4,4,2,2,3,3,3,2,4,3,2,3,3,4,2,3,3,3,2,3,3
627,1,24,1,2,1,3,1,2,3,2,1,2,2,2,1,2,2,3,1,3,2,3,2,3,2,3,2,2,4
629,1, ,3,3,3,3,3,3,3,4,3,3,4,4,3,3,3,3,3,4,3,3,3,4,3,3,3,3,3
638,1,24,4,3,3,2,2,1,4,4,2,2,4,3,3,3,3,3,2,2,4,4,2,3,3,3,4,2,4
642,1,37,3,4,5,1,3,5,5,5,2,4,3,4,2,3,4,3,2,3,3,4,2,4,2,4,2,3,3
644,1,23,4,2,2,3,2,1,3,3,1,2,2,2,2,2,3,2,1,4,3,4,3,2,2,4,2,3,4
645,1,37,2,2,2,4,2,2,5,3,1,1,4,4,1,3,4,3,1,2,3,3,2,4,3,2,1,3,5
647,1,23,4,3,2,3,1,3,5,4,1,3,5,5,4,3,2,2,1,4,5,5,3,3,3,3,1,2,5
648,1,19,1,2,5,4,4,1,5,5,5,1,5,5,2,5,5,5,1,2,4,5,5,4,4,5,5,5,5
650,1,37,2,1,4,4,1,2,1,3,1,2,4,3,2,3,3,3,1,4,4,4,2,3,3,3,3,2,5
651,1,36,2,2,3,4,1,4,4,4,2,4,2,4,3,4,4,4,1,2,4,4,4,5,4,2,2,4,4
654,1,20,4,2,4,1,2,2,4,4,2,1,3,3,2,4,3,4,4,4,5,4,2,4,3,4,3,3,4
655,1,20,1,2,2,3,1,1,2,3,1,1,4,3,1,3,4,1,1,2,3,3,1,1,2,3,2,2,5
656,1,20,2,3,3,4,1,3,4,4,1,2,3,2,2,2,3,3,2,2,3,3,3,3,2,2,3,4,3
657,1,23,1,3,2,4,1,3,3,3,1,1,2,3,4,4,4,3,1,2,3,4,4,3,3,3,2,3,3
659,1,22,4,2,1,1,2,1,5,4,1,2,5,4,3,2,4,3,4,3,4,4,3,2,2,3,2,4,5
660,1,21,2,4,2,3,2,3,5,4,1,1,2,4,2,2,2,4,1,3,3,3,4,2,2,2,1,5,5
661,1,18,2,2,3,4,2,2,4,4,2,2,3,3,2,4,3,3,4,3,3,4,3,4,3,4,2,3,4
662,1,23,2,3,4,4,2,4,4,2,1,1,3,4,3,4,3,5,5,4,2,2,4,4,4,4,2,4,2
663,1,18,3,4,3,2,1,1,2,3,2,2,4,5,2,4,3,2,3,3,3,3,2,4,2,4,3,4,3
664,1,21,3,5,5,2,1,1,5,5,1,3,3,2,1,1,3,4,2,4,3,4,2,1,3,3,2,3,5
665,1,24,3,4,2,4,1,4,5,4,3,2,2,3,2,2,3,3,3,2,1,3,4,3,1,4,3,2,5
666,1,22,4,4,3,2,3,4,5,4,3,3,4,3,4,4,4,3,3,4,4,2,4,3,4,4,3,3,4
667,1,20,2,2,3,2,2,2,4,2,1,1,2,2,2,4,3,3,2,3,3,4,3,4,3,4,3,3,4
668,1,20,3,2,3,2,3,2,4,3,2,2,4,4,4,4,3,2,2,3,4,5,3,2,3,5,3,3,4
669,1,20,4,2,5,2,3,2,5,4,3,2,3,3,2,3,3,2,2,4,4,3,3,2,2,3,3,2,4
670,1,23,2,3,4,2,2,3,4,3,3,3,4,3,3,4,4,2,4,3,3,4,3,4,2,3,3,2,4
672,1,19,2,3,3,3,1,3,4,5,1,1,4,5,3,3,4,4,1,3,2,4,4,4,4,4,1,3,2
673,1,25,2,3,2,2,1,1,2,2,2,2,2,4,1,2,2,2,2,2,2,3,2,1,2,2,2,2,3
674,1,26,1,2,2,5,1,3,3,5,1,1,2,5,3,2,4,3,2,4,3,1,5,3,2,4,3,5,3
676,1,24,2,3,2,4,1,2,4,3,2,2,2,4,1,4,3,4,1,1,1,3,4,5,2,4,2,2,3
677,1,22,3,3,3,3,3,4,5,4,3,3,4,5,4,3,4,3,3,3,3,3,3,4,3,3,3,3,3
680,1,22,3,3,2,2,1,1,5,2,2,3,3,4,2,3,3,3,1,3,4,4,3,2,3,3,3,2,4
684,1,23,1,4,3,3,1,1,5,3,3,3,3,4,3,2,4,2,2,3,2,3,2,3,4,4,2,2,3
685,1,37,3,3,3,2,2,2,4,4,2,3,3,2,2,2,2,2,2,4,2,4,2,3,2,3,2,2,4
686,1,22,4,2,2,4,1,1,4,2,1,1,3,4,1,1,2,3,1,3,3,4,4,5,3,4,2,5,3
687,1,22,2,3,2,3,3,4,4,3,2,3,3,3,2,4,4,4,2,3,3,3,3,3,4,2,3,4,5
688,1,40,2,4,2,3,2,2,3,2,1,2,4,3,2,3,3,2,1,2,2,2,2,2,2,2,2,3,4
689,1,28,1,3,3,3,2,2,3,4,1,1,2,5,4,3,3,3,1,4,2,3,1,4,2,4,2,5,5
690,1,20,3,4,4,2,2,1,5,4,2,2,4,4,4,4,4,3,4,5,5,5,3,4,4,5,2,3,4
692,1,25,5,4,2,2,4,1,5,5,5,3,5,5,5,3,5,5,3,5,5,4,2,4,4,4,3,2,4
694,1,41,2,1,1,4,1,1,4,3,1,1,3,4,1,3,2,3,1,2,1,3,4,2,3,2,1,4,3
695,1,21,3,3,3,2,4,2,4,3,1,3,2,3,3,3,3,1,1,2,3,3,2,4,3,4,3,3,4
696,1,21,3,3,2,4,2,2,3,4,2,2,4,5,2,3,4,4,2,4,3,4,3,4,3,4,3,2,3
698,1,23,1,2,4,1,3,3,4,1,2,2,3,2,3,3,4,1,2,3,3,1,4,3,4,3,1,3,3
