id,FD1,SD2,UP3,FW4,FD5,SD6,UP7,FW8,FD9,SD10,UP11,FW12,FD13,SD14,UP15,FW16,FD17,SD18,UP19,UP20,FW21,SD22,FW23,SD24,UP25,FW26,UP27
2733,2,2,4,4,2,1,3,2,2,1,1,2,2,2,2,4,4,1,4,3,4,4,1,4,2,5,4
2734,3,4,4,4,2,1,4,3,3,3,4,2,4,4,5,4,3,3,4,4,4,4,4,4,4,2,4
2735,5,5,4,4,4,5,5,4,5,4,4,4,5,4,4,4,5,4,5,4,4,5,5,5,5,3,4
2736,4,4,4,4,1,1,5,4,2,4,5,4,1,2,4,2,4,2,4,4,5,4,4,4,4,3,5
2737,3,4,4,4,4,4,4,4,4,4,4,2,3,4,4,4,4,4,3,4,4,5,4,4,4,4,4
2738,2,3,4,4,2,2,4,4,2,3,4,4,2,3,4,3,2,2,3,3,4,3,3,3,4,3,3
2739,3,2,2,3,1,3,2,2,3,1,4,4,2,3,4,3,4,3,2,3,3,4,4,4,2,3,3
2740,1,5,2,5,1,4,4,4,3,4,4,5,2,4,4,4,4,2,4,4,4,4,2,4,2,4,2
2741,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2742,2,3,3,3,2,2,3,4,2,2,4,2,2,3,3,4,4,2,3,3,3,4,4,3,3,3,4
2743,3,3,3,2,3,1,3,4,1,2,5,4,3,3,3,5,3,2,2,5,5,4,4,4,3,2,5
2744,1,3,1,3,2,2,4,5,2,2,4,1,1,3,3,4,3,5,3,4,4,5,5,4,3,3,2
2745,4,3,3,4,2,2,3,3,2,3,3,1,3,2,3,3,2,3,2,2,2,3,5,4,4,3,3
2746,2,2,2,3,2,1,3,3,3,4,5,3,2,3,3,4,4,3,3,3,4,4,4,4,2,4,3
2747,2,3,4,4,3,2,3,4,2,3,4,2,3,4,3,4,4,2,2,4,4,4,4,3,4,3,4
2748,3,4,4,3,3,3,4,4,5,4,4,2,5,3,4,5,5,2,4,5,4,5,5,5,4,3,5
2749,4,4,4,4,4,4,4,4,4,1,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4
2750,2,1,2,5,2,1,5,5,1,1,5,3,2,1,3,5,3,3,3,3,5,4,5,1,3,3,5
2751,4,3,4,3,4,4,3,4,3,3,4,2,2,4,4,3,4,2,4,4,3,4,2,3,4,4,2
2752,3,4,5,5,4,1,5,4,3,1,5,5,4,4,5,4,4,4,4,4,4,4,5,4,3,4,5
2753,3,4,3,4,3,3,3,3,3,4,4,4,3,3,4,5,4,4,3,4,4,4,4,4,4,4,4
2754,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
2755,3,3,2,5,3,2,5,4,3,4,3,3,2,4,4,5,4,2,2,4,4,3,3,3,3,3,4
2756,4,5,4,4,4,2,4,4,4,3,4,3,3,4,4,5,4,4,3,3,4,4,4,3,3,3,4
2757,2,3,4,3,2,2,4,4,2,2,4,4,2,2,3,5,3,3,3,3,3,3,3,2,3,3,4
2758,1,1,4,2,5,1,2,5,1,1,1,2,3,2,2,5,1,3,2,3,2,4,4,2,4,3,4
2759,4,2,3,3,3,3,4,2,5,2,4,2,4,2,3,1,3,4,5,5,4,2,4,3,4,2,2
2760,3,3,4,4,3,2,3,3,2,2,3,3,3,2,3,5,3,3,3,2,3,4,2,3,3,3,3
2761,4,3,4,4,3,4,4,4,4,3,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,3
2762,3,3,4,3,3,2,4,3,2,2,4,2,3,3,4,4,4,2,4,4,3,3,4,2,4,2,4
2763,3,3,3,3,2,3,3,3,3,2,3,3,3,3,3,3,2,3,3,3,4,3,3,3,3,3,3
2764,3,2,4,3,2,2,4,4,2,2,3,3,3,4,3,4,4,4,3,3,2,4,4,2,3,3,4
2765,1,2,4,3,1,2,3,4,2,2,4,1,3,3,3,5,3,3,3,1,4,4,4,3,1,4,3
2766,1,3,3,5,2,4,4,5,2,1,4,3,2,3,4,5,4,2,4,3,3,4,5,2,3,3,4
2767,2,4,3,3,2,4,2,4,3,4,1,4,3,4,2,3,4,4,3,3,2,4,4,3,4,5,3
2768,3,2,5,3,2,1,5,4,3,2,5,3,2,4,4,4,5,4,3,4,3,4,3,4,3,3,4
2769,5,4,3,3,3,3,4,3,4,4,4,4,4,4,3,4,4,3,3,4,4,4,4,5,3,4,4
2770,3,3,3,3,5,3,3,3,3,3,5,3,3,3,3,3,3,3,3,5,3,3,3,3,3,3,3
2771,2,3,3,5,3,2,2,5,1,1,2,4,2,2,4,5,4,2,2,2,4,3,5,2,4,5,2
2772,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,3,2,2,3,3,2,2,2,3
2773,2,3,4,3,2,2,4,4,1,2,4,2,2,3,3,4,3,4,3,4,3,2,3,3,3,3,4
2774,3,3,4,4,2,3,5,3,4,3,4,4,3,3,4,4,3,3,4,3,4,4,3,4,4,3,4
2775,2,3,3,5,2,2,4,1,3,4,2,4,4,5,2,1,3,2,3,3,4,4,3,3,5,2,3
2776,5,4,4,2,5,4,2,4,5,2,3,3,4,4,4,4,4,2,2,3,1,4,4,4,3,4,2
2777,1,3,5,4,5,1,2,1,1,3,3,1,4,3,4,4,5,2,3,4,5,4,2,3,2,4,3
2778,2,2,2,4,2,2,4,4,2,2,4,4,2,3,4,4,2,2,4,2,4,4,4,3,2,3,4
2779,3,4,2,3,4,4,5,4,4,4,3,3,4,4,3,5,4,3,4,4,3,4,3,4,3,4,4
2780,1,5,4,4,2,1,4,2,1,1,2,1,4,2,4,4,1,4,2,4,4,4,2,1,2,5,2
2781,3,1,5,5,1,1,5,1,1,1,5,5,1,1,5,4,5,1,5,3,5,3,3,5,5,5,5
2782,3,3,4,4,5,4,5,2,2,1,4,3,4,1,2,5,5,1,4,3,5,5,5,4,4,5,5
2783,2,2,3,4,2,2,3,4,2,2,4,4,2,3,3,4,3,3,3,3,4,3,3,3,3,3,4
2784,3,4,3,5,3,2,5,4,2,3,4,3,2,4,4,3,4,4,2,4,4,4,4,4,4,4,3
2785,4,2,4,4,4,2,4,4,3,3,4,3,4,3,2,4,4,3,3,3,3,3,4,4,4,3,5
