"NO","gender","age","FD1","SD2","UP3","FW4","FD5","SD6","UP7","FW8","FD9","SD10","UP11","FW12","FD13","SD14","UP15","FW16","FD17","SD18","UP19","UP20","FW21","SD22","FW23","SD24","UP25","FW26","UP27","FD","SD","UP","FW"
5.13,1,41,4,4,3,4,3,1,4,4,4,2,4,4,2,2,4,5,4,2,2,2,3,2,4,4,2,4,4,3.4,2.42857142857143,3.125,4
5.13,2,60,4,5,5,4,4,2,5,4,3,5,5,2,4,5,4,3,4,5,5,5,2,3,2,4,4,1,4,3.8,4.14285714285714,4.625,2.57142857142857
5.13,1,24,1,1,1,5,1,1,5,5,1,1,5,5,1,1,3,5,1,1,4,4,5,1,5,1,5,5,5,1,1,4,5
5.13,1,25,2,3,3,5,2,3,3,5,2,2,3,5,2,3,5,5,5,5,5,5,5,2,5,2,5,5,2,2.6,2.85714285714286,3.875,5
5.13,2,61,2,4,3,3,2,2,2,4,3,2,3,4,2,3,4,2,4,2,3,2,4,2,1,2,3,4,2,2.6,2.42857142857143,2.75,3.14285714285714
5.13,1,28,3,3,3,3,2,3,3,4,2,3,3,4,2,4,4,3,4,3,2,3,3,3,3,3,3,4,3,2.6,3.14285714285714,3,3.42857142857143
5.13,1,53,4,1,4,4,1,1,5,5,4,1,4,4,1,5,4,5,4,1,4,4,5,2,5,4,4,5,4,2.8,2.14285714285714,4.125,4.71428571428571
5.13,1,31,1,2,2,5,1,1,5,4,1,2,4,2,1,4,4,4,1,4,4,1,5,4,4,4,2,4,5,1,3,3.375,4
5.13,1,38,2,2,2,4,2,3,4,4,2,2,4,4,2,4,4,4,3,3,3,1,3,2,4,4,3,4,4,2.2,2.85714285714286,3.125,3.85714285714286
5.13,2,30,3,4,3,4,2,2,4,4,2,2,4,2,4,4,5,4,2,3,2,4,4,4,2,2,4,4,2,2.6,3,3.5,3.42857142857143
5.13,2,60,1,3,3,2,2,2,3,3,2,2,2,3,2,3,4,3,4,2,4,3,3,4,1,2,2,4,3,2.2,2.57142857142857,3,2.71428571428571
5.13,2,23,2,3,1,1,3,1,2,5,2,3,2,1,2,4,2,2,2,3,2,3,1,2,1,4,2,2,1,2.2,2.85714285714286,1.875,1.85714285714286
5.13,1,30,4,3,3,4,4,5,5,4,4,5,4,4,5,4,4,5,4,5,5,3,5,4,3,3,3,4,4,4.2,4.14285714285714,3.875,4.14285714285714
5.13,2,48,2,2,2,4,2,2,4,4,2,3,3,4,2,4,4,4,1,4,2,2,4,2,4,3,2,5,4,1.8,2.85714285714286,2.875,4.14285714285714
5.13,2,38,1,3,1,4,1,2,5,4,1,2,2,4,1,2,2,4,1,2,1,2,4,4,4,4,2,4,4,1,2.71428571428571,2.375,4
5.13,2,30,4,4,3,4,2,4,4,4,4,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3.6,3.85714285714286,3.75,4
5.13,1,31,1,2,3,4,1,2,4,4,1,2,3,4,2,4,3,4,2,4,3,2,4,4,5,3,3,4,4,1.4,3,3.125,4.14285714285714
5.13,1,21,3,4,2,5,3,5,4,4,2,5,3,4,2,5,4,5,3,4,5,4,4,4,4,4,4,4,4,2.6,4.42857142857143,3.75,4.28571428571429
5.13,2,44,2,2,2,2,2,3,4,4,2,2,4,2,2,4,4,3,2,4,2,4,2,3,2,4,4,4,4,2,3.14285714285714,3.5,2.71428571428571
5.13,1,20,1,4,4,2,1,2,3,4,2,2,2,2,1,4,2,3,2,4,2,4,2,5,1,4,4,4,5,1.4,3.57142857142857,3.25,2.57142857142857
5.13,1,31,2,1,5,4,1,1,3,4,3,4,4,3,5,3,4,4,1,3,4,3,5,2,4,1,3,4,2,2.4,2.14285714285714,3.5,4
5.13,1,54,1,2,2,4,1,3,3,4,1,2,2,4,2,4,4,4,2,2,4,3,4,4,4,2,3,4,4,1.4,2.71428571428571,3.125,4
5.13,1,34,4,4,5,5,4,2,5,4,4,4,4,5,4,5,5,4,4,4,3,2,5,4,4,4,2,4,3,4,3.85714285714286,3.625,4.42857142857143
5.13,1,26,2,4,3,3,2,4,3,3,3,3,3,3,4,2,2,3,3,3,3,3,4,3,4,4,3,4,3,2.8,3.28571428571429,2.875,3.42857142857143
5.13,2,29,4,4,3,5,4,4,4,5,4,4,4,3,5,3,4,4,4,4,5,4,5,4,3,4,3,4,4,4.2,3.85714285714286,3.875,4.14285714285714
5.13,1,43,3,3,3,5,4,4,5,3,1,1,4,5,4,1,5,4,5,5,2,1,3,3,5,2,5,4,5,3.4,2.71428571428571,3.75,4.14285714285714
5.13,2,33,2,3,3,5,2,2,4,4,2,3,4,4,3,4,3,5,2,3,3,3,4,2,4,3,3,4,4,2.2,2.85714285714286,3.375,4.28571428571429
5.13,1,39,2,4,2,4,2,2,4,4,2,5,4,4,2,4,4,5,2,2,2,2,4,2,4,4,2,4,4,2,3.28571428571429,3,4.14285714285714
5.13,1,52,3,4,4,3,2,2,4,4,2,4,4,3,2,4,4,4,2,3,4,4,3,4,3,4,3,4,4,2.2,3.57142857142857,3.875,3.42857142857143
5.13,1,48,1,3,2,3,2,1,5,4,1,4,2,2,2,4,2,4,2,3,2,2,2,2,4,4,2,3,3,1.6,3,2.5,3.14285714285714
5.13,1,31,1,3,3,3,1,1,4,4,2,1,3,3,1,2,2,3,2,3,2,3,4,3,3,4,3,2,4,1.4,2.42857142857143,3,3.14285714285714
5.13,1,29,3,3,2,4,3,5,4,4,3,4,3,5,5,2,4,4,3,4,5,3,3,5,3,5,4,2,3,3.4,4,3.5,3.57142857142857
5.13,1,54,4,3,4,3,2,3,4,4,2,3,3,3,2,4,4,4,3,3,4,2,4,3,2,4,2,3,2,2.6,3.28571428571429,3.125,3.28571428571429
